iter	Passed	Remaining
401	15828	23545
402	15881	23526
403	15929	23500
404	15967	23458
405	16005	23416
406	16053	23389
407	16093	23351
408	16132	23311
409	16171	23270
410	16208	23228
411	16246	23187
412	16295	23161
413	16337	23124
414	16373	23080
415	16415	23045
416	16462	23016
417	16498	22971
418	16533	22926
419	16585	22903
420	16621	22859
421	16663	22823
422	16700	22781
423	16769	22781
424	16808	22740
425	16861	22719
426	16899	22677
427	16951	22654
428	16997	22623
429	17058	22612
430	17097	22571
431	17140	22536
432	17179	22496
433	17219	22456
434	17257	22414
435	17294	22371
436	17334	22333
437	17373	22292
438	17425	22267
439	17470	22234
440	17507	22191
441	17549	22154
442	17589	22115
443	17640	22090
444	17678	22048
445	17716	22006
446	17751	21960
447	17787	21916
448	17823	21872
449	17858	21827
450	17911	21803
451	17948	21760
452	17986	21719
453	18021	21673
454	18061	21634
455	18098	21590
456	18136	21549
457	18176	21510
458	18212	21466
459	18248	21422
460	18283	21376
461	18316	21329
462	18354	21287
463	18389	21242
464	18424	21198
465	18459	21153
466	18495	21109
467	18532	21066
468	18568	21023
469	18605	20980
470	18642	20937
471	18678	20894
472	18714	20850
473	18748	20805
474	18787	20765
475	18826	20725
476	18865	20684
477	18898	20638
478	18944	20605
479	18994	20577
480	19037	20541
481	19072	20497
482	19163	20512
483	19264	20538
484	19306	20501
485	19346	20460
486	19381	20415
487	19417	20372
488	19454	20329
489	19491	20286
490	19525	20241
491	19561	20197
492	19605	20161
493	19642	20119
494	19678	20076
495	19714	20031
496	19749	19988
497	19784	19943
498	19820	19899
499	19854	19854
500	19891	19811
501	19926	19767
502	19964	19726
503	20000	19683
504	20034	19637
505	20068	19592
506	20104	19549
507	20162	19527
508	20210	19496
509	20245	19451
510	20279	19406
511	20314	19362
512	20354	19322
513	20392	19281
514	20430	19240
515	20466	19197
516	20502	19153
517	20537	19110
518	20572	19066
519	20610	19025
520	20645	18981
521	20680	18937
522	20715	18893
523	20752	18851
524	20787	18807
525	20823	18764
526	20857	18719
527	20893	18677
528	20944	18648
529	20981	18605
530	21017	18563
531	21055	18522
532	21118	18503
533	21160	18465
534	21197	18423
535	21231	18379
536	21265	18335
537	21301	18292
538	21337	18249
539	21389	18220
540	21442	18192
541	21477	18148
542	21516	18108
543	21551	18065
544	21585	18020
545	21621	17978
546	21656	17935
547	21692	17892
548	21729	17850
549	21770	17811
550	21807	17770
551	21851	17734
552	21886	17691
553	21966	17684
554	22008	17646
555	22043	17603
556	22080	17561
557	22117	17519
558	22153	17477
559	22194	17438
560	22235	17400
561	22271	17357
562	22306	17314
563	22352	17279
564	22414	17257
565	22451	17215
566	22514	17193
567	22549	17150
568	22583	17106
569	22620	17064
570	22657	17022
571	22693	16980
572	22728	16937
573	22762	16893
574	22800	16852
575	22836	16810
576	22872	16767
577	22907	16724
578	22943	16682
579	22979	16640
580	23016	16598
581	23051	16555
582	23089	16515
583	23128	16474
584	23163	16432
585	23205	16394
586	23245	16355
587	23280	16311
588	23319	16271
589	23367	16238
590	23404	16196
591	23442	16156
592	23488	16121
593	23528	16081
594	23563	16038
595	23601	15998
596	23637	15956
597	23674	15914
598	23708	15871
599	23745	15830
600	23782	15789
601	23837	15759
602	23877	15720
603	23914	15678
604	23966	15647
605	24006	15607
606	24056	15575
607	24100	15538
608	24137	15497
609	24173	15454
610	24211	15414
611	24252	15375
612	24285	15332
613	24322	15290
614	24357	15248
615	24395	15207
616	24432	15166
617	24471	15126
618	24507	15084
619	24543	15042
620	24579	15001
621	24618	14961
622	24654	14919
623	24690	14877
624	24726	14835
625	24763	14794
626	24801	14754
627	24840	14714
628	24884	14677
629	24920	14635
630	24956	14593
631	24992	14552
632	25028	14511
633	25067	14471
634	25105	14430
635	25139	14388
636	25177	14347
637	25224	14312
638	25257	14269
639	25294	14227
640	25329	14185
641	25365	14144
642	25404	14104
643	25462	14075
644	25512	14041
645	25565	14009
646	25604	13969
647	25644	13930
648	25710	13905
649	25836	13911
650	25886	13877
651	25924	13837
652	25965	13797
653	26003	13757
654	26037	13714
655	26075	13673
656	26114	13633
657	26152	13592
658	26190	13552
659	26233	13514
660	26268	13471
661	26302	13429
662	26345	13391
663	26383	13350
664	26418	13308
665	26453	13266
666	26488	13224
667	26524	13182
668	26559	13140
669	26595	13099
670	26631	13057
671	26666	13016
672	26702	12974
673	26738	12932
674	26774	12891
675	26816	12852
676	26852	12811
677	26890	12770
678	26935	12733
679	26971	12692
680	27008	12651
681	27074	12624
682	27109	12582
683	27146	12541
684	27187	12502
685	27223	12460
686	27257	12418
687	27310	12385
688	27348	12344
689	27385	12303
690	27431	12266
691	27476	12229
692	27517	12190
693	27551	12148
694	27588	12106
695	27626	12066
696	27662	12025
697	27698	11984
698	27734	11942
699	27771	11901
700	27805	11859
701	27841	11818
702	27876	11777
703	27909	11734
704	27947	11694
705	27981	11652
706	28017	11611
707	28070	11576
708	28105	11535
709	28142	11494
710	28181	11454
711	28224	11416
712	28260	11375
713	28294	11333
714	28329	11292
715	28364	11250
716	28398	11208
717	28434	11167
718	28485	11132
719	28521	11091
720	28589	11063
721	28626	11022
722	28662	10981
723	28698	10940
724	28733	10898
725	28768	10857
726	28807	10817
727	28843	10776
728	28881	10736
729	28959	10710
730	29079	10701
731	29172	10680
732	29212	10640
733	29252	10601
734	29293	10561
735	29330	10520
736	29364	10478
737	29400	10437
738	29433	10395
739	29477	10356
740	29514	10316
741	29550	10274
742	29599	10238
743	29634	10196
744	29670	10155
745	29704	10113
746	29740	10072
747	29776	10031
748	29813	9990
749	29875	9958
750	29911	9917
751	29972	9884
752	30035	9852
753	30075	9812
754	30128	9776
755	30168	9736
756	30233	9704
757	30271	9664
758	30324	9628
759	30373	9591
760	30451	9563
761	30488	9522
762	30523	9481
763	30556	9439
764	30591	9397
765	30629	9356
766	30665	9315
767	30701	9274
768	30743	9235
769	30779	9193
770	30819	9153
771	30860	9114
772	30895	9072
773	30931	9031
774	30969	8991
775	31032	8957
776	31080	8920
777	31117	8879
778	31157	8839
779	31197	8799
780	31236	8759
781	31274	8718
782	31344	8686
783	31402	8651
784	31448	8613
785	31486	8572
786	31525	8532
787	31579	8495
788	31624	8457
789	31664	8417
790	31701	8376
791	31737	8335
792	31774	8294
793	31809	8252
794	31845	8211
795	31886	8172
796	31922	8130
797	31958	8089
798	31996	8049
799	32035	8008
800	32071	7967
801	32108	7927
802	32145	7886
803	32187	7846
804	32228	7806
805	32263	7765
806	32302	7725
807	32336	7683
808	32370	7642
809	32406	7601
810	32441	7560
811	32479	7519
812	32536	7483
813	32572	7442
814	32608	7402
815	32644	7361
816	32683	7320
817	32719	7279
818	32754	7238
819	32797	7199
820	32846	7161
821	32887	7121
822	32928	7081
823	32965	7041
824	33000	7000
825	33034	6958
826	33069	6917
827	33104	6876
828	33139	6835
829	33213	6802
830	33252	6762
831	33291	6722
832	33329	6681
833	33362	6640
834	33399	6599
835	33435	6559
836	33474	6518
837	33510	6478
838	33547	6437
839	33614	6402
840	33651	6362
841	33688	6321
842	33725	6280
843	33761	6240
844	33797	6199
845	33831	6158
846	33866	6117
847	33903	6077
848	33942	6036
849	33980	5996
850	34020	5956
851	34054	5915
852	34090	5874
853	34127	5834
854	34165	5794
855	34202	5753
856	34261	5716
857	34306	5677
858	34342	5637
859	34378	5596
860	34415	5556
861	34453	5515
862	34490	5475
863	34525	5434
864	34561	5394
865	34602	5354
866	34718	5325
867	34828	5296
